	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
73	Grand Silver Mist	Grand Vault Group	Marathahalli	Under Construction		Possession date: Dec'18	1272 sq ft(3BHK+2T)	3 BHK	1,024 - 1,272 sq ft	₹ 53.15 L	2, 3 BHK	16	
74	Ozone Pole Star	Ozone Group	Nagawara	Launch		Possession date: Dec'21	3058 sq ft(4BHK+4T + Servant Room)	4 BHK	1,251 - 3,058 sq ft	₹ 75.56 L - ₹ 1.85 Cr	2, 3, 4 BHK	100	
75	Hiren High Cliff	Hiren Wahen	Marathahalli	Under Construction		Possession date: Apr'19	2595 sq ft(4BHK+4T + Servant Room)	4 BHK	1,000 - 2,595 sq ft	₹ 64.99 L - ₹ 1.69 Cr	2, 3, 4 BHK	152	RERA ID: PR/KN/170823/001436
76	Timeline Cyber Heights	Timeline	Nagawara	On Hold	Timeline Builders & Developers is a notable construction company that is known to deliver the residential projects within the agreed time, quality and budget parameters. The launch of the Cyber Heights housing project in Nagawara, Bangalore, reflects their superior quality construction work. Nagawara is located at the north end of Bangalore and known for being a preferred residential and business locality. Cyber Heights features 2 and 3-BHK flats with sizes ranging from 1,100 sq. ft. to 1,475 sq.ft. The 220 units are sprawled in an area of 5 acres. Cyber Heights comes with plenty of recreational amenities, like library, multi purpose hall, yoga / meditation / aerobic rooms, supermarket and express laundry, senior citizen corner, gymnasium, kids pool and children's play area. Therefore, it is a brilliant option to live in.	Possession started from: Dec'17	1475 sq ft(3BHK+3T)	3 BHK	1,100 - 1,475 sq ft	₹ 44.55 L - ₹ 59.74 L	2, 3 BHK	220	
77	DS Sparkle Nest	DS Max Properties	Narayanapura on Hennur Main Road	Under Construction	Hennur region of Bengaluru is a developing area, offering premium apartments. DS Max Sparkle Nest Real Estate organisation is the company that is building up this extravagant project. The project is under construction. The required necessities like parks, petrol pumps, schools, ATMs, banks, hospitals, etc. are available in the neighbourhood. The amenities provided by this project are a pollution free environment along with the availability of a gym, a clubhouse, a swimming pool, sports facility, a playground for children, intercom facilities and much more. The price of the apartments is based on request. The apartments have enclosed individual facility of car parking.	Possession date: Dec'18	1751 sq ft(3BHK+3T)	3 BHK	928 - 1,751 sq ft	₹ 39.34 L	2, 3 BHK	120	
78	TCH Garden Residency	TCH	Narayanapura on Hennur Main Road	On Hold		Possession date: Jun'18	1350 sq ft(3BHK+3T)	3 BHK	1,089 - 1,350 sq ft	₹ 33.76 L - ₹ 41.85 L	2, 3 BHK	182	
79	Skyline Oasis	Skyline Constructions	Narayanapura on Hennur Main Road	On Hold	Skyline Constructions new residential project Oasis located at Hennur Road, Bangalore. It is offering luxurious apartments. The apartments are under construction and the apartments are available through the builder as well as via resale. The complex is in close vicinity to schools, chemist shops, grocery stores, banks, restaurants, train stations, metro stations, parks, play schools, ATMâ€™s, bus stations, shopping malls, hospitals and entertainment facilities, making it an ideal home for a relaxed lifestyle. Several amenities are proposed for the community which include a gymnasium, swimming pool, childrenâ€™s play area, club house, multipurpose room, rainwater harvesting and 24 X 7 security, amongst others. Price of the apartments is available on request.	Possession started from: Dec'15	1693 sq ft(3BHK+3T)	3 BHK	1,271 - 1,693 sq ft	₹ 67.60 L	2, 3 BHK	48	
80	Griha Unnathi	Griha	Narayanapura on Hennur Main Road	Under Construction	Griha Unnathi Residency is providing apartments in the Narayanapura on Hennur Main Road region of Bengaluru. This project is still in under construction stage and is offering apartments of great quality and comfort. The daily necessities like a railway stations, petrol pumps, parks and a bus stations are all available nearby this project. The region is all completed and is ready for possession. The area is pollution free and the amenities of these projects are a gym, an intercom, and rain water harvesting system, a playground for the children, indoor games facility and a security staff. The price of the apartments is based on the request value.	Possession date: Dec'18	2203 sq ft(3BHK+3T + Servant Room)	3 BHK	1,046 - 2,203 sq ft	₹ 49.69 L - ₹ 1.05 Cr	2, 3 BHK	72	RERA ID: PR/KN/170731/000273
81	Vaswani Menlo Park	Vaswani Group	Marathahalli	Launch	Vaswani Group announces its latest residential project Menlo Park located in Marathahalli, Bangalore. Menlo Park offers spacious 2 and 3 BHK apartments with several leisure amenities including gymnasium, Swimming Pool, jogging track, indoor games and many more. The availability of numerous schools, ATMs, higher education institutes, hospitals etc in the close by areas provide convenience to the residents to reach these places in a short time. All these features are designed specially with the discerning clients in mind. Vaswani Group has continuously endeavoured to provide luxurious experience to their clients. It has maintained a good name in the market and is known for delivering top quality construction projects.	Possession date: Dec'21	2400 sq ft(3BHK+3T)	3 BHK	1,020 - 2,400 sq ft	₹ 47.84 L - ₹ 1.13 Cr	2, 3 BHK	360	
82	Legacy Legacy Saviero	Legacy Global Project	Horamavu	Under Construction		Possession date: Dec'19	1990 sq ft(3BHK+3T)	3 BHK	1,460 - 1,990 sq ft	₹ 80.30 L - ₹ 1.09 Cr	2, 3 BHK	96	
83	DSR Waterscape	DSR Infrastructures	Horamavu	Under Construction	DSR Infrastructures Pvt Ltd Waterscape is located in Horamavu, Bangalore. There are various amenities for home owners to utilize such as swimming pool, club house, children’s play zone, gymnasium, community hall and sports facilities. DSR Infrastructures Pvt. Ltd. was founded in 1988 and they have worked on twenty nine projects so far. Currently they have seven under construction properties in Bangalore, spread over Bellandur and Whitefield Hope Farm Junction. Horamavu is located close to Manyata Tech Park and Whitefield. It is surrounded by areas such as Kalyan Nagar, Hebbal and KR Puram. The Outer Ring Road is only 2 kilometres from here while the HAL Airport is 10 kilometres away.	Possession date: Dec'18	1752 sq ft(3BHK+3T)	3 BHK	1,179 - 1,752 sq ft	₹ 46.57 L - ₹ 69.20 L	2, 3 BHK	231	RERA ID: PR/KN/170731/000808
84	Sriven Rag Metropole	Sriven Properties Bangalore	Anjanapura	Under Construction		Possession date: Dec'18	1366 sq ft(3BHK+3T)	3 BHK	822 - 1,366 sq ft	₹ 28.77 L - ₹ 47.81 L	2, 3 BHK	50	
85	DS Stonescape	DS Max Properties	Anjanapura	Under Construction	Anjanapura area of Bengaluru has given land for the many real estate projects which are already in the process of development. The DS Max StonesCape is delivering spacious and premium apartments. The apartments are all set for moving in. All the necessary requirements like banks, ATMs, petrol pumps, hospitals; schools, grocery shop, bus stations, restaurants, train stations, etc. are all present in the neighbourhood of the project. The project offers other amenities like intercom facility, 24x7 security services, power backup, landscaped gardens, maintenance staff, a swimming pool, a gymnasium, rainwater harvesting system, power backup and more.	Possession date: Nov'19	1456 sq ft(3BHK+2T)	3 BHK	830 - 1,456 sq ft	₹ 23.24 L - ₹ 40.77 L	2, 3 BHK	200	RERA ID: PR/KN/170830/001652
86	Hiranandani Calgary	House Of Hiranandani	Devanahalli	On Hold		Possession date: Mar'18	1688 sq ft(3BHK+3T)	3 BHK	1,188 - 1,688 sq ft	₹ 55.24 L - ₹ 78.49 L	2, 3 BHK	266	
87	Legacy Vivienda	Legacy Global Project	Devanahalli	Under Construction	Legacy Vivienda real estate association has amazed the market by building the best housing place project in Devanahalli region of Bengaluru. This organization is offering premium apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by housing complex are a playground for the children, a nice green garden, 24 hours security, a car parking and much more. The location has the benefit of other services like hospitals, Banks, ATMs, petrol pumps, bus stations, schools, railway stations, restaurants, playschools etc. at a very short distance. The price of the apartments is depended on the request value.	Possession date: Apr'20	1760 sq ft(3BHK+3T)	3 BHK	660 - 1,760 sq ft	₹ 30.69 L - ₹ 81.84 L	1, 2, 3 BHK	276	RERA ID: PR/KN/170731/000885
88	Indya SkyView	Indya Estates	Devanahalli	Under Construction		Possession date: Dec'18	1275 sq ft(3BHK+3T)	3 BHK	650 - 1,275 sq ft	₹ 23.89 L - ₹ 46.86 L	2, 3 BHK	780	RERA ID: PR/KN/170727/000071
89	UKN The Belvedere By UKN Airport District Phase 1	UKN Properties	Devanahalli	Under Construction	There is an availability of magnificent plots in the Devanahalli region of Bangalore. These apartments are the project of UKN the Belvedere organization and they are all set for moving in. All the necessities like restaurant, play school, bus station, train station, hospital, bank, ATM, petrol pump all these are available in the neighbourhood. The other different amenities provided by the project is a well maintained system for car parking facility which is provided to each and every plot camera footage security services, playground, sewage water treatment plant, power back up system and more.	Possession date: Dec'20	1535 sq ft(3BHK+3T)	3 BHK	630 - 1,535 sq ft	₹ 28.35 L - ₹ 69.08 L	1, 2, 3 BHK	877	RERA ID: PR/KN/170731/000527
90	Salarpuria Park Cubix	Salarpuria Sattva Group	Devanahalli	Launch	Park Cubix is the latest residential project offered by Salarpuria Group located at Devanahalli in Bangalore. The project offers well-designed 1, 2 and 3 BHK apartments for sale. The project is currently in an under-construction stage with the mode of availability through the developer only. Spreading in an area of 18 acres, the apartments are available in the size ranging from 656 sq ft to 1,498 sq ft. The possession is likely to be in March 2022. It hosts numerous amenities that include a well-equipped gymnasium, a swimming pool, a kids play area, a sports facility, a club house, a multipurpose room, an intercom facility, an indoor games facility, a rainwater harvesting system, a jogging track, landscaped gardens, an elevator and a car parking area. Devanahalli is well-connected to other parts ofBangalore through road, rail and public transport. There are many reputed educational institutions, prominent hospitals, bank branches, shopping malls and recreational centres in the neighbourhood.	Possession date: Mar'22	1498 sq ft(3BHK+3T)	3 BHK	656 - 1,498 sq ft	₹ 26.83 L - ₹ 61.27 L	1, 2, 3 BHK	810	RERA ID: PR/KN/170901/001749
91	Altius Ardour	Altius Realcon Development	Sarjapur	Under Construction	Altius Realcon Development Ardour is a housing property in Sarjapur, Bangalore. It has 1, 2 and 3 BHK flats on sale that are in various stages of construction. The units are available through the developer. There are a total of 80 apartments being sold, which measure from 610 to 1400 sq ft. Spread over 1.09 acres, the community has facilities such as swimming pool, gymnasium, club house, children’s play zone, jogging track and community hall for home owners to enjoy. Sarjapur Road begins at the junction of HSR Layout and Koramangala and continues on to Sarjapur village. It is around 50 kilometers from the Bangalore International Airport while the closest railway station is in Carmelaram.	Possession date: Dec'18	1400 sq ft(3BHK+3T)	3 BHK	610 - 1,400 sq ft	₹ 26.35 L - ₹ 60.48 L	1, 2, 3 BHK	94	RERA ID: PR/KN/170804/001048
92	Shri Ornate	Shri Diya	Sarjapur	Under Construction	There is a huge availability of comfortable apartments in the Sarjapur region of Bangalore. The entire project is being developed by the Shri Diya Ornate Residency Real Estate builders. The project comprises of a range of well-designed and efficiently plannedapartments strategically located in the close vicinity of schools, hospitals, parks, restaurants, banks, petrol pump, ATM, bus station etc. This popular and upcoming residential locality of Bangalore is surrounded by several other famous growing real estate projects. Some of the modern day amenities offered by the project include a playground for the children, intercom services and much more. Prices and further details can be availed on request.	Possession date: Jun'19	1475 sq ft(3BHK+3T)	3 BHK	1,042 - 1,475 sq ft	₹ 28.66 L - ₹ 40.56 L	2, 3 BHK	58	
93	Prabhavathi Grand View	Prabhavathi	Sarjapur	On Hold		Possession started from: Oct'17	1020 sq ft(3BHK+2T)	3 BHK	500 - 1,020 sq ft	₹ 13.00 L - ₹ 26.52 L	1, 2, 3 BHK	370	
94	Shri Viola Oak	Shri Diya	Sarjapur	Pre Launch	Viola Oak by Shri Diya is located in Sarjapur, Bengaluru. It offers premium apartments. Price is made available on request. The amenities include a gymnasium, a swimming pool, a children’s play area, a club house, an intercom, 24x7 security, a jogging track, a power backup, landscaped gardens, a car parking, an indoor games, a lift and many others. Situated towards the south-east end of Bengaluru, Sarjapur Road is a fast developing part of the city that enjoys an excellent connectivity to the key IT hubs around. The International Airport is at a distance of 50 kilometres. Price per square feet is Rs4, 565. Puravankara, BM Developers, Sattva Group, First Futuristic Holding, etc. are some of the prominent real estate developers. It also hosts a number of schools, hospitals and shopping centres.	Possession date: Feb'20	1512 sq ft(3BHK+3T)	3 BHK	996 - 1,512 sq ft	₹ 31.87 L - ₹ 48.38 L	2, 3 BHK	200	
95	Atco Sapphire	Atco Projects	Sarjapur	Under Construction	Sarjapur in Bengaluru is a growing region which has many projects going on. The Atco Projects Sapphire Company is offering premium apartments in this region in a project which is still under construction. There are many facilities nearby this area like Banks, ATMs, restaurants, petrol pumps, shopping mall, higher education facilities, commercial complex, Hospitals, parks, schools, play schools, and much more. The area is also well accessible from all the parts of the city. Other amenities like intercom services, power back up system, and a childrenâ€™s a playground is also provided by the project. The price of the apartments is based on the request value.	Possession date: Dec'18	1673 sq ft(3BHK+3T)	3 BHK	1,092 - 1,673 sq ft	₹ 39.31 L - ₹ 60.23 L	2, 3 BHK	150	
96	BCD Paradiso	BCD India Group	Devanahalli	Under Construction	The BCD India Group Paradiso Group is offering great apartments in the Devanahalli region of Bangalore. These apartments are still in an under construction form and the project is going to be launched soon, which has all the necessary provisions like bank, atm, hospital, bus station, restaurant, school, petrol pump etc nearby. The other facilities of the project are a beautiful playground for the children, an intercom service, 24 hours security back up facility, gym, swimming pool, club house, a beautiful garden, a community hall and facility of indoor games and ample space for parking a car for each owner of the apartments.	Possession date: Dec'18	1750 sq ft(3BHK+3T + Study Room)	3 BHK	750 - 1,750 sq ft	₹ 28.13 L - ₹ 65.63 L	1, 2, 3 BHK	264	RERA ID: PR/KN/170731/000142
97	Jupiter GR Commanders City	Jupiter	Devanahalli	On Hold	GR Commanders City is an upcoming residential project, being developed in Devanahalli, Bangalore. The project, which is presently under construction spans across a vast landscape surrounded by ample greenery and equipped with all possible modern day facilities and amenities that residents would need on a daily basis. The apartments on offer come in varying sizes and designed to suit the needs and budgets of different kinds of clients. Some of the modern day amenities and facilities that the residents can have access to include a swimming pool, children's play area, gymnasium, club house, power backup and round the clock security services. Additionally residents can also engage in sports by making use of the basketball, skating rink, football, volley ball, lawn tennis and other such facilities.	Possession date: Dec'18	3644 sq ft(4BHK+4T)	4 BHK	497 - 3,644 sq ft	₹ 16.15 L - ₹ 1.18 Cr	1, 2, 3, 4 BHK	988	
98	Sovereign Sonaa	Sovereign Developers	Nelamangala Town	On Hold		Possession date: Dec'18	2175 sq ft(5BHK+5T)	5 BHK	925 - 2,175 sq ft	₹ 42.92 L - ₹ 2.26 Cr	2, 3, 4, 5 BHK	834	
99	Rohan Akriti	Rohan Builders and Developers	Subramanyapura	Under Construction	Akriti project is registered in RERA with following RERA IDs 1. PR/KN/170731/000903 (ROHAN AKRITI BUILDING 1) and 2. PR/KN/180111/002510 (ROHAN AKRITI BUILDING 2). . Located in the Subramanyapura locality of Bangalore, Akriti is a housing project by Rohan Builders and Developers. The project is spread over an area of five acres and offers 1, 2 and 3 BHK apartments with their carpet area ranging from 544 sq ft to 1,532 sq ft. Some of its key highlights include Vitrified Tiles flooring in the master bedroom and ceramic tiles flooring in the toilets and balcony. The project is currently in an under construction stage with its possession scheduled in December 2019.Some of the key amenities offered by the project include a swimming pool, gymnasium, multipurpose room, power backup provision, landscaped gardens, indoor games facility and club house.Subramanyapura is a popular neighborhood in Bangalore and it is located near Bangalore-Mysore Expressway. The vicinity is easily accessible from Chikkalsandra, Padmanabha Nagar, JP Nagar Phase 1, 5, 6 and 7. New Millennium Public School, Lavtra Community College, Nagarathna Hospital, Metro Hospital, Bangalore ENT Surgical Clinic are some of the educational and healthcare facilities in the area. It also comprises of hotels, restaurants, shopping destinations and recreational centers.	Possession date: Dec'19	1532 sq ft(3BHK+3T)	3 BHK	544 - 1,532 sq ft	₹ 24.48 L - ₹ 68.94 L	1, 2, 3 BHK	248	RERA ID: PR/KN/170731/000903
100	Neeladri Kota Hills	Neeladri	Subramanyapura	Under Construction		Possession date: Dec'18	1685 sq ft(3BHK+3T)	3 BHK	1,045 - 1,685 sq ft	₹ 39.71 L - ₹ 64.03 L	2, 3 BHK	47	RERA ID: PR/KN/171006/002173
101	Mantri Serenity	Mantri Group	Subramanyapura	Under Construction	Mantra Group Serenity is registered with RERA with projects as follows- MANTRI SERENITY- 1 - PR/KN/170731/000494, MANTRI SERENITY- 3 - PR/KN/170731/000500, MANTRI SERENITY- 4 - PR/KN/170731/000502, MANTRI SERENITY- 5 - PR/KN/170731/000504. Mantra Group Serenity, located in Subramanyapura, Bangalore, offers apartments. The amenities include gymnasium, swimming pool, children's play area, club house, intercom, 24x7 security, rainwater harvesting, power backup, car parking, multipurpose room, sports facility, indoor games, library, Jacuzzi, mini theatre, and many others. The major real estate builders who have residential projects in this area are Mantri Group, Pride, Chartered, Gopalan, Oasis Constructions, Aarya Shelter, Jain Housing, Nanda Shelters, HSV Group, ISR Constructions etc. There are many schools and hospitals in this locality to boast of. The amenities that are offered by this project include power backup and landscaped gardens.	Possession started from: Nov'15	2525 sq ft(3BHK+3T)	3 BHK	1,000 - 2,525 sq ft	₹ 59.90 L - ₹ 1.51 Cr	2, 3 BHK	2096	
102	Prestige Lake Ridge	Prestige Group	Subramanyapura	Under Construction	Lake Ridge project is registered in RERA with following RERA IDs 1. PR/KN/170729/000334 Prestige Lake Ridge Phase 1 & PR/KN/170729/000336 Prestige Lake Ridge Phase 2. Prestige Lake Ridge, located in Subramanyapura, Bengaluru, offers apartments with the price being on request. It provides amenities like a gymnasium, a swimming pool, a childrens play area, a club house, a rainwater harvesting, an intercom, 24x7 security, a power backup, landscaped gardens, an indoor games provision, a maintenance staff, a car parking, a community hall, a recreation facilities and a library. Situated around 55 kilometers from Bengaluru, Subramanyapura. It is located at a strategic location in South Bengaluru on the National Highway 209. It has become an alluring destination for IT/ITES professionals due to its close proximity to the major IT hubs of Bengaluru. The area enjoys seamless connectivity.	Possession date: Dec'20	1750 sq ft(3BHK+3T + Servant Room)	3 BHK	661 - 1,750 sq ft	Price on request	1, 2, 3 BHK	560	RERA ID: PR/KN/170729/000334
103	ATZ Areva	ATZ Properties	Varthur	On Hold		Possession started from: Dec'17	2153 sq ft(3BHK+3T + Study Room)	3 BHK	1,080 - 2,153 sq ft	₹ 46.55 L - ₹ 75.36 L	2, 3 BHK	74	
104	Artha Crest	Artha	Varthur	On Hold	Artha Crest is a residential project by Artha Group in Varthur, Bangalore. Holding an experience of 5 years, Artha Group is south India's fastest growing real estate company. Spread over 1.04 acres of land, Artha Crest has been developed to offer a choice of 2 and 3 BHK apartments with 81 units ranging from 999 to 1,503 sq. ft. The amenities provided at Artha Crest include gymnasium, swimming pool, children's play area, power backup, indoor games, half basketball court, volley ball court and courtyard. Varthur offers easy connectivity to all prime areas of Bangalore. The locality is home to many reputed educational institutions and hospitals. The presence of numerous shopping malls in and around Varthur provides attractive shopping options to residents. Priced between 47.9 and 72.1 lakh, Artha Crest has a livability score of 7.4 (on a scale of 10).	Possession date: Dec'18	1503 sq ft(3BHK+3T)	3 BHK	999 - 1,503 sq ft	₹ 47.90 L - ₹ 72.07 L	2, 3 BHK	81	
105	Dhio Build Tech Properties Sky Terrace	Dhio Build Tech Properties	Varthur	On Hold		Possession started from: Dec'17	1200 sq ft(2BHK+2T)	2 BHK	556 - 1,200 sq ft	₹ 12.23 L - ₹ 26.40 L	1, 2 BHK	50	
106	Satwi Thavil	Satwi	Varthur	Under Construction	Located in Varthur, Bangalore, Thavil is a premium housing project launched by Satwi. The project offers Apartment in 2, 3 BHK configurations available from 991 sqft to 1768 sqft. These units in Bangalore East, are available at an attractive price points starting at @Rs 3,500 per sqft and will be available to buyers at a starting price of Rs 34.69 lacs. The project is Under Construction project and possession in Dec 18. Thavil has many amenities, such as Children's play area, Squash Court, Water Supply, Biomethanisation Disposal, Club House etc.	Possession date: Apr'19	1768 sq ft(3BHK+3T + Pooja Room)	3 BHK	991 - 1,768 sq ft	₹ 34.69 L - ₹ 61.88 L	2, 3 BHK	100	RERA ID: PR/KN/170731/000874
107	ATZ Estrella	ATZ Properties	Varthur	Under Construction	Key amenities offered to residents at this project include a gymnasium, 24 hour security services, swimming pool, jogging track, playing zone for kids, power backup facilities, club house, rainwater harvesting system, indoor game facilities, landscaped gardens and car parking facilities. Added amenities include a tennis court, private garden, hotels, vaastu compliant architectural layouts, a library and water storage provisions. Located at Varthur, the project is well linked to several areas like Harohalli, Gunjur, Kotur, Immadihalli and Whitefield.	Possession date: Dec'18	1825 sq ft(3BHK+2T)	3 BHK	1,090 - 1,825 sq ft	₹ 39.24 L - ₹ 65.70 L	2, 3 BHK	118	
108	CMRS Mulberry Mist	CMRS	Varthur	Under Construction	Mulberry Mist, designed around your life, making sure that you enjoy a stress-free living.Surrounded by well established residential areas, shopping malls, hospitals, educational institutions you are in close proximity to all that you need.With class amenities at Mulberry Mist you can feel safe, secure relaxed and happy.Mulberry Mist is the first step to getting the things The essence of Style you want out of life. At Mulberry Mist, you have a thousand reasons to smile for; you are right next to everything that you want.	Possession date: Dec'18	1600 sq ft(3BHK+3T)	3 BHK	986 - 1,600 sq ft	₹ 38.95 L - ₹ 57.08 L	2, 3 BHK	296	RERA ID: PR/KN/170731/000597
109	Galaxy Constructions Bangalore The Trillium	Galaxy Constructions Bangalore	Varthur	Under Construction		Possession date: Dec'18	1442 sq ft(3BHK+3T)	3 BHK	1,017 - 1,442 sq ft	₹ 36.61 L - ₹ 51.91 L	2, 3 BHK	64	RERA ID: PR/KN/170830/001693
110	Saroj Harmony	Saroj	Varthur	Under Construction		Possession date: Dec'18	1750 sq ft(3BHK+3T + Study Room)	3 BHK	1,260 - 1,750 sq ft	₹ 47.88 L - ₹ 66.50 L	2, 3 BHK	95	RERA ID: PR/KN/170824/001506
111	Hilife Hilife Greens	Hilife Ventures Pvt Ltd	Varthur	Under Construction		Possession date: Mar'20	1500 sq ft(3BHK+2T)	3 BHK	1,150 - 1,500 sq ft	₹ 46.00 L - ₹ 60.00 L	2, 3 BHK	360	
112	Myhna Myhna Maple	Myhna Properties	Varthur	Under Construction	Myhna Properties has launched its premium housing project, Myhna Maple, in Varthur, Bangalore. The project offers 2, 3 BHK Apartment from 1045 sqft to 1665 sqft in Bangalore East. Among the many luxurious amenities that the project hosts are Sewage Treatment Plant, Swimming Pool, Rain Water Harvesting, Lift Available, Intercom etc. Starting at @Rs 3,600 per sqft,Apartment are available for sale from Rs 37.62 lacs to Rs 59.94 lacs. Myhna Properties Myhna Maple is Under Construction project and possession in Dec 20.	Possession date: Dec'20	1665 sq ft(3BHK+3T)	3 BHK	1,045 - 1,665 sq ft	₹ 40.65 L - ₹ 64.77 L	2, 3 BHK	532	RERA ID: PR/KN/170804/001080
113	Sobha Palm Springs	Sobha Limited	Varthur	Under Construction		Possession date: Dec'19	1210 sq ft(2BHK+2T)	2 BHK	645 - 1,210 sq ft	₹ 31.72 L - ₹ 66.25 L	1, 2 BHK	353	RERA ID: PR/KN/170828/001452
114	Jupiter Commanders Purple Paradise	Jupiter	Chikballapur	On Hold	Jupiter Purple Paradise is a housing community in Bangalore Chikballapur area. It has apartments of several configurations on offer through the developer. The flats are in different stages of construction. There are several amenities that home owners can use within the complex such as swimming pool, gymnasium, landscaped gardens, and indoor games room and club house. Jupiter Infrastructure is a well-known property developer of Bangalore which has numerous housing projects to its name. Their properties are spread over Jakkur and Yelahanka. Chikballapur is located near to the NH 7 and the NH 234 (earlier known as SH 58). It is only 3 kilometres from Muddenahalli.	Possession date: Apr'18	968 sq ft(2BHK+2T + Pooja Room)	2 BHK	418 - 968 sq ft	₹ 15.88 L - ₹ 36.78 L	1, 2 BHK	174	
115	Citrus Belmont Condominium	Citrus	Chikballapur	On Hold	Located in Chikballapur, Bangalore, Belmont Condominium is a premium housing project launched by Citrus. The project offers Apartment in 1, 2 BHK configurations available from 644 sqft to 1074 sqft. These units in Bangalore North, are available at an attractive price points starting at @Rs 4,368 per sqft and will be available to buyers at a starting price of Rs 28.13 lacs. The project is Pre Launch project and possession in Dec 17. Belmont Condominium has many amenities, such as Swimming Pool, Tennis Court, Landscaped Gardens, Basket Ball Court, Reflexology Garden etc.	Possession started from: Dec'17	1074 sq ft(2BHK+2T)	2 BHK	644 - 1,074 sq ft	₹ 28.13 L - ₹ 46.91 L	1, 2 BHK	50	
116	Elegant Whispering Winds	Elegant Builders	Talaghattapura	Under Construction	Elegant Developers Whispering Winds Group has an availability of lavish apartments of great quality in the Talaghattapura region of Bengaluru. The apartments are all set for moving in purpose. Necessities like parks, banks, hospitals, bus stations, petrol pumps, ATMs, restaurants all is available in the neighbourhood. The other guarantees of the project are a contamination free setting along with covered parking space for each apartment, a gym, club house, and security for 24 hours, a power back up system and much more. The price of the apartments is based on the request value. The size of the apartment is also based on the request value.	Possession date: Dec'18	1839 sq ft(3BHK+3T)	3 BHK	1,419 - 1,839 sq ft	₹ 63.85 L - ₹ 82.75 L	2, 3 BHK	192	RERA ID: PR/KN/170826/001523
117	Sobha Forest Edge	Sobha Limited	Talaghattapura	Pre Launch		Possession date: Feb'21	2272 sq ft(3BHK+3T)	3 BHK	1,803 - 2,272 sq ft	₹ 1.15 Cr - ₹ 1.45 Cr	3 BHK	222	
118	Skyline Exaltus	Skyline Constructions	Talaghattapura	On Hold	Skyline Constructions Exaltus Bangalore comes with 2 and 3 BHK apartments for buyers and consists of 289 units. Average home size range between 1067 and 1825 sq. ft.at this project and it spreads over an area of 7.325 acres in all. Key amenities offered to residents at this project include a gymnasium, playing zone for kids, swimming pool, cafeteria, club house, indoor game facilities, barbeque pit, outdoor and indoor party hall, multipurpose room, tennis court, sunken pool bar, badminton court, mini theatre, amphitheatre, full size cricket stadium, yoga cum meditation room, Jacuzzi and departmental store. Located at Talaghattapura, the project is well connected to several areas like Jalahalli, Bommasandra, Chikballapur, JP Nagar Phase 7, Vasanth Nagar, Varthur, Jakkur, Frazer town and Begur among others.	Possession date: Jun'18	1825 sq ft(3BHK+3T)	3 BHK	1,067 - 1,825 sq ft	₹ 42.68 L - ₹ 73.00 L	2, 3 BHK	289	
119	JPC Pallavi	JPC	Talaghattapura	On Hold	JPC Pallavi, located at Talaghattapura in Bengaluru, is a real estate property offering 2 and 3 BHK apartments, along with amenities such as a gymnasium, childrens play area, a multipurpose room, rainwater harvesting system, power backup facility and an elevator. The availability is only through the developer. The project is strategically located on the National Highway 209. Its locality enjoys seamless connectivity to the prominent parts of the city via the Kanakapura Road. It is a residential hotspot for IT/ITES professionals due to its proximity to the major hubs. This locality also has a well-built social infrastructure.	Possession date: Jun'18	1420 sq ft(3BHK+3T)	3 BHK	1,100 - 1,420 sq ft	₹ 42.00 L - ₹ 53.25 L	2, 3 BHK	28	
120	Nitesh Caesars Palace	Nitesh Estates	Talaghattapura	Under Construction	Caesars Palace Bangalore is a residential project developed by Nitesh group. It is located at Talaghattapura in Bangalore.equipped with all modern facilities. With 8 years of experience, Nitesh has become one of the prominent real estate developers based in Bangalore. This company is involved in crafting high end luxurious homes. Mr Nitesh Shetty is the founder and Managing Director of this company. Talaghattapura, one of the well-known areas located at suburb Kanakapura Road in Bangalore. Bangalore City Junction railway station is located at a distance of approximately 21 kilometers form this area. HAL airport is about 22 kilometers away from this area. Bus services are also accessible in this area. This area has many well-known schools, banks, hospitals, restaurants and parks.	Possession date: Dec'18	2866 sq ft(4BHK+4T + Servant Room)	4 BHK	1,189 - 2,866 sq ft	₹ 70.56 L - ₹ 93.93 L	2, 3, 4 BHK	348	
121	SV Maple	SV INFRA	Talaghattapura	Under Construction	Launched by SV INFRA, Maple, is a premium housing project located at Talaghattapura in Bangalore. Offering 2, 3 BHK Apartment in Kanakapura Road are available from 1150 sqft to 1500 sqft. This project hosts amenities like Vaastu Compliant, Drop Off & Pick Up Point, Internet Facility , 24 Hours Water Supply From Borewell, Badminton Courts etc. Available at attractive price points starting at @Rs 5,500 per sqft, the Apartment are available for sale from Rs 63.25 lacs to Rs 82.50 lacs. The project is Under Construction project and possession in Mar 19.	Possession date: Mar'19	1500 sq ft(3BHK+3T)	3 BHK	1,150 - 1,500 sq ft	₹ 63.25 L - ₹ 82.50 L	2, 3 BHK	62	
